from,to,relationship,year
ck,bun,1,2022
rs,bun,1,2022
jb,but,2,2022
mt,but,2,2022
co,but,2,2022
bs,but,2,2022
tl,but,2,2022
rs,but,2,2022
ft,but,2,2022
mt,fdpb,2,2022
bs,fdpb,2,2022
ft,ih,2,2022
bs,ih,2,2022
bs,jl,2,2022
mt,jl,2,2022
jb,jl,2,2022
co,ag,4,2022
mt,ag,4,2022
bs,ra,6,2022
ft,ra,6,2022
rs,un,6,2022
jb,un,6,2022
fb,fr,7,2022
rs,fr,7,2022
mt,tue,7,2022
ck,tue,7,2022
fb,eu,2,2022
co,eu,2,2022
mt,eu,2,2022
